,deu,nds
373,Ich habe telefonisch eine Pizza bestellt.,Ik heff an ’t Telefoon Pizza bestellt.
374,Ich bin bereit.,Ik ben all klaar.
375,Das Frühstück ist fertig.,Dat Fröhstück is trech.
376,Bist du bereit?,Büst du praat?
377,Versuchen wir es noch einmal!,Versöökt wi dat noch wedder.
378,Versuche es noch einmal.,Versöök dat noch eens wedder.
379,Glaubst du an Gespenster?,Glöövst du an Spökels?
380,"Ich glaube, dass er ehrlich ist.","Ik lööv, dat he ehrlich is."
381,Mir geht's gut.,Mi geiht dat goot.
382,Mir geht es gut.,Mi geiht dat goot.
383,Er spricht gut Englisch.,He snackt goot Engelsch.
384,Könnte ich ein Glas Wasser haben?,Kann ik en Glas Water hebben?
385,Nicht alle Vögel können fliegen.,Nich all Vagels köönt flegen.
386,Einige Fische fliegen.,Welk Fisch fleegt.
387,Sie kann keiner Fliege was zu Leide tun.,Se kunn keen Fleeg wat andoon.
388,Bienen fliegen von Blume zu Blume.,Immen fleegt vun Bloom to Bloom.
389,Das ist mein Bruder.,Dat is mien Broder.
390,Er ist mein Bruder.,He is mien Broder.
391,Ich habe einen älteren Bruder.,Ik heff en öllern Broder.
392,Mein Bruder mag Horrorfilme.,Mien Broder mag Horrorfilms.
393,Wir sind Bruder und Schwester.,Wi sünd Broder un Süster.
394,Mein Bruder spielt Gitarre.,Mien Broder speelt Gitarr.
395,Mein Bruder ist Ingenieur.,Mien Broder is Inschenör.
396,Shinkos Bruder ist acht.,Shinko sien Broder is acht.
397,Er ist Taros Bruder.,He is Taro sien Broder.
398,Bill ging mit seinem Bruder in den Zoo.,Bill güng mit sien Broder in ’n Zoo.
399,John ist so alt wie mein Bruder.,John is so oolt as mien Broder.
400,Dieses Fahrrad gehört meinem Bruder.,Dit Fohrrad höört mien Broder to.
401,Dieses Velo gehört meinem Bruder.,Dit Fohrrad höört mien Broder to.
402,George hat meine Schwester geheiratet.,George hett mien Süster heiraadt.
403,Meine Schwester mag Süßigkeiten.,Miene Süster mag Snökerkraam.
404,Seine Schwester sieht jung aus.,Sien Süster sütt jung ut.
405,Ich mag helle Farben.,Ik mag hell Klören.
406,Es ist dunkel draußen.,Dat is buten düüster.
407,Ich mag ihre dunklen Augen.,Ik mag ehr düüster Ogen.
408,Es war dunkel unter der Brücke.,Dat weer düüster ünner de Brüch.
409,Katzen können im Dunkeln sehen.,Katten köönt in ’n Düüstern sehn.
410,Ich kann ohne Brille lesen.,Ik kann ahn Brill lesen.
411,Ich kann nicht ohne Brille lesen.,Ik kann nich ahn Brill lesen.
412,Ich finde meine Brille nicht.,Ik kann mien Brill nich finnen.
413,Er trägt eine Brille.,He driggt en Brill.
414,Sie trug eine Brille.,Se dreeg en Brill.
415,Wo ist meine Brille?,Wao is mien Bril?
416,Wo ist meine Brille?,Woneem is mien Brill?
417,Tracy hat ihre Brille verloren.,Tracy hett ehr Brill verloren.
418,Ich muss keine Brille mehr tragen.,Ik mutt keen Brill mehr dregen.
419,Was hast du mit meiner Brille gemacht?,Wat hest du mit mien Brill maakt?
420,Er schloss seine Augen.,He möök sien Ogen dicht.
421,Er hat braune Augen.,He hett brune Ogen.
422,Er war direkt hinter mir.,He weer liek achter mi.
423,Er schloss die Tür hinter sich.,He möök de Döör achter sik dicht.
424,Der Mond ist hinter den Wolken.,De Maand is achter de Wulken.
425,Ich fange heute Abend an.,Ik fangen vonavend an.
426,Ich beginne heute Abend.,Ik fangen vonavend an.
427,Ich rufe dich heute Abend an.,Ik roop di vonavend an.
428,Ich habe viele Freunde.,Ik heff veel Frünnen.
429,Du suchst deinen Schlüssel.,Du söchst dien Slötel.
430,Haben wir uns schon mal getroffen?,Hebbt wi uns al eens drapen?
431,Ich suche meinen Schlüssel.,Ik söök mien Slötel.
432,Er steckte den Schlüssel ins Schloss.,He deed den Slötel in ’t Slott steken.
433,Suche die Stadt auf der Karte.,Söök de Stadt op de Kaart.
434,Du darfst nicht zu viel Eis und Spaghetti essen.,Du dröffst nich toveel Ies un Spaghetti eten.
435,Ich sollte lieber an meiner Diplomarbeit arbeiten.,Ik schölen beter an mien Diploomarbeid arbeiden.
436,Schau den Satz in deinem Wörterbuch nach.,Kiek den Satz in dien Wöörbook na.
437,Gib dein Bestes!,Geev dien Best!
438,Meine Arbeit ist beendet.,Mien Arbeit is trech.
439,Sie schaltete das Licht aus.,Se hett dat Licht utmaakt.
440,Ich friere.,Mi frös.
441,Mir ist kalt.,Mi frös.
442,Ich friere.,Mi is koolt.
443,Mir ist kalt.,Mi is koolt.
444,Lass mich deine Temperatur messen.,Laat mi dien Temperatur meten.
445,Bring mir meine Brille.,Bring mi mien Brill.
446,Naoko schwimmt gerade.,Naoko swemmt jüst.
447,"Ich verstehe nicht, warum er nicht die Wahrheit gesagt hat.","Ik verstah nich, worüm as he nich de Wohrheid seggt hett."
448,Das ist ihr Haus.,Dat is ehr Huus.
449,Mein Haus ist groß.,Mien Huus is groot.
450,Mein Haus brannte.,Mien Huus hett brennt.
451,Das Haus wurde verkauft.,Dat Huus is verköfft worrn.
452,Das Haus wurde gekauft.,Dat Huus is verköfft worrn.
453,Wann kommst du heim?,Wannehr kummst du na Huus?
454,Wann kommst du nach Hause?,Wannehr kummst du na Huus?
455,Ich werde ein Auto kaufen.,Ik will en Auto köpen.
456,Ich komme aus Singapur.,Ik kaam ut Singapur.
457,Können Sie um neun vorbeikommen?,Kannst du Klock negen vörbikamen?
458,"Das Wetter war zu schön, um drinnen zu bleiben.",Dat Wedder weer to schöön üm binnen to blieven.
459,"Wer ist der Junge, der die Rolle des Peter Pan spielt?","’Keen is de Jung, de de Rull vun Peter Pann speelt?"
460,Der Himmel ist blau.,De Heven is blau.
461,"Das zu glauben, fällt mir schwer.",Dat to löven fallt mi swaar.
462,Was hältst du davon?,Wat höllst du dar vun?
463,Computer ersparen uns eine Menge Zeit und Ärger.,Reekners spoort uns veel Tied un Arger.
464,"Als sie mein Gesicht sah, begann sie zu weinen.","As se mien Gesicht seeg, füng se an to wenen."
465,Ich vergesse ständig die Namen von Leuten.,Ik vergeet ümmer de Naams vun Lüüd.
466,Dieses Land ist ungefähr zweimal so groß wie Japan.,Dit Land is üm un bi twee Maal so groot as Japan.
467,Ein Japaner hätte so was nicht gesagt.,En Japaner harr sowat nich seggt.
468,Ich konnte letzte Nacht nicht schlafen.,Ik kunn vergangen Nacht nich slapen.
469,Ich kann deine Frage nicht beantworten.,Ik kann op dien Fraag nich antern.
470,Wir konnten das Läuten einer nahegelegenen Kirche hören.,Wi kunnen dat Lüden vun de na Kark hören.
471,Diese Uhr funktioniert nicht.,Disse Klock geiht nich.
472,Diese Uhr geht nicht.,Disse Klock geiht nich.
473,Diese Uhr funktioniert nicht.,Disse Klock is kaputt.
474,Diese Uhr ist kaputt.,Disse Klock is kaputt.
475,"Früher rauchte er, aber jetzt hat er aufgehört.","Fröher hett he smöökt, aver nu hett he ophöört."
476,Bill hat mir dieses Buch mitgebracht.,Bill hett mi dit Book mitbröcht.
477,Er ist gerade angekommen.,He is jüst ankamen.
478,Ich lese gerne Bücher.,Ik lees geern Böker.
479,Sie saß unter einem Baum.,Se seet ünner en Boom.
480,"Sie mag Jazz, und ich auch.",Se mag Jazz un ik ok.
481,Ich hatte letzte Nacht einen schrecklichen Traum.,Ik harr vergangen Nacht en gresigen Droom.
482,Ich hatte letzte Nacht einen furchtbaren Traum.,Ik harr vergangen Nacht en gresigen Droom.
483,Fünftausend Dollar sind eine große Menge Geld.,Fievdusend Dollar sünd en Hümpel Geld.
484,Fünftausend Dollar sind ein Batzen Geld.,Fievdusend Dollar sünd en Hümpel Geld.
485,Und lüge vor allem nicht.,Un leeg vör alleen nich.
486,"Er ist reich genug, zwei Autos zu kaufen.","He is riek noog, twee Autos to köpen."
487,"Verstehst du, was ich sagen will?","Versteihst du, wat ik seggen will?"
488,Die Murais sind seit zehn Jahren verheiratet.,De Murais sünd teihn Jahr verheiraadt.
489,Sein Gesicht war von Schlamm bedeckt.,Sien Gesicht weer mit Mudd vullkleit.
490,Kann ich ein paar Fragen stellen?,Kann ik en paar Fragen stellen?
491,"Tut mir leid, dass ich dich so lange habe warten lassen.","Deit mi leed, dat ik di so lang heff töven laten."
492,"Das Problem ist, dass es zu teuer ist.","Dat Probleem is, dat dat to düer is."
493,Die Hühner suchten Nahrung.,De Höhner hebbt Freten söcht.
494,"Ich weiß nicht, was dieses Wort bedeutet.","Ik weet nich, wat dit Woort bedüüdt."
495,Es hat einen angenehmen Geruch.,Dat hett en legen Röök.
496,Wie weit ist es vom Flughafen zum Hotel?,Wo wiet is dat vun ’n Flegerhaven na ’t Hotel?
497,Sie hat niemanden zum Reden.,Se hett nüms to ’n Snacken.
498,Sie zerriss den Brief in tausend Stücke.,Se hett den Breef in dusend Stücken reten.
499,Wir lachten und lachten.,Wi lachen un lachen.
500,"Ich werde kommen, falls nötig.","Ik kaam, wenn dat nödig is."
501,Die Schuhe sind aus Leder.,De Schoh sünd ut Ledder.
502,Meine Schwester spielt mit Puppen.,Miene Süster speelt mit Poppen.
503,Meine Schwester ist sehr intelligent.,Mien Süster is temlich plietsch.
504,Er versteckte sich hinter einem großen Felsen.,He deed achter en groten Steen schulen.
505,Dieser Junge ist intelligent.,Disse Jung is plietsch.
506,"Dieser Film ist für Erwachsene, nicht für Kinder.","Düsse Film is för Vulwassene, nich för Kinner."
507,Ich habe eine Einladung bekommen.,Ik heff en Inladen kriegen.
508,"Ich verstehe nicht, worüber ihr redet.","Ik verstah nich, wo ji vun snackt."
509,"Ken verteidigt immer seine Mutter, wenn seine Eltern sich streiten.","Ken verdeffendeert ümmer sien Moder, wenn sien Öllern sik striedt."
510,Ich bade jeden Tag.,Ik baad elk Dag.
511,Ich konnte nicht schlafen.,Ik kunn nich slapen.
512,Ich habe einen großen Bruder und eine kleine Schwester.,Ik heff en groten Broder un en lütte Süster.
513,Es hat vor einer Stunde aufgehört zu schneien.,Dat hett vör een Stünn ophöört to sneen.
514,Ich schreibe einen Brief.,Ik schriev en Breef.
515,Man ist nur einmal jung.,Een is bloot een Maal jung.
516,"Ich erinnere mich an das Haus, in dem ich aufgewachsen bin.","Ik kann mi op dat Huus besinnen, in dat ik opwussen bün."
517,Ich esse Reis.,Ik eet Ries.
518,Er schreibt mir einmal pro Woche.,He schrifft mi een Maal in ’e Week.
519,Er ist Tennisspieler.,He is Tennisspeler.
520,Er ist ein Tennisspieler.,He is Tennisspeler.
521,Schließe deine Augen drei Minuten lang.,Sluut dien Ogen dree Minuten lang.
522,"Wenn ich sterben sollte, wer würde sich dann um meine Kinder kümmern?","Wenn ik doodblieven schölen, ’keen deed sik denn üm mien Kinner kümmern?"
523,Er hat alles aufgegessen.,He hett allens opeten.
524,Hast du alles für morgen vorbereitet?,Hest du allens för morgen trech?
525,"Es ist einfach, schlechte Angewohnheiten anzunehmen.","Dat kummt licht, dat een slecht Wennsten anwarrt."
526,Papa kommt morgen heim.,Papa kummt morgen na Huus.
527,Ich bin stolz auf meine Schule.,Ik bün stolt op mien School.
528,Ich habe viel zu tun.,Ik heff veel to doon.
529,Ich habe einen Computer.,Ik heff en Computer.
530,Bierflaschen sind aus Glas.,Beerbuddels sünd ut Glas.
531,Was bedeutet dieses Wort?,Wat bedüüdt dit Woort?
532,Er verlor das Gleichgewicht und fiel hin.,He keem in’t Wanken un füll hen.
533,Hast du schon zu Mittag gegessen?,Häs du aal Meddag gieden?
534,Hast du schon zu Mittag gegessen?,Hest du al Middag äten?
535,Vielleicht hast du Recht.,Villicht hest du recht.
536,Kann ich eine Nachricht hinterlassen?,Kann ik en Naricht dorlaten?
537,Er glaubt an den Weihnachtsmann.,He glöövt an ’n Wiehnachtsmann.
538,"Es ist Zeit, in die Schule zu gehen.","Dat is Tied, in ’e School to gahn."
539,Spricht er Englisch?,Snackt he Engelsch?
540,"Ich habe ihn getroffen, als er in Japan war.","Ik heff em drapen, as he in Japan weer."
541,Der Frühling ist meine liebste Jahreszeit.,Dat Vörjahr is mien leevste Johrstied.
542,Frankreich hat eine Grenze mit Italien.,Frankriek hett en Grenz mit Italien.
543,"Er sagte, dass sich die Erde um die Sonne dreht.","He seed, dat sik de Eerd üm de Sünn dreiht."
544,Er hat Eier und Milch bei einem Bauer gekauft.,He hett Eier un Melk bi en Buur köfft.
545,Ich will nicht alleine leben.,Ik will nich alleen leven.
546,Diese Halle fasst zweitausend Personen.,In düsse Hall gaht tweedusend Lüüd rin.
547,In diesen Hörsaal passen zweitausend Menschen.,In dissen Höörsaal passt tweedusend Minschen.
548,Es ist sehr kalt diesen Winter.,Dat is önnig koolt dissen Winter.
549,"Es kann sein, dass er die Formel nicht kannte.","Kann angahn, dat he de Formel nich kennt hett."
550,Wir haben zwei Kirschbäume in unserem Garten.,Wi hebbt twee Kassbeerbööm in uns Gaarn.
551,Ich ertrage das nicht mehr.,Ik kann dat nich mehr uthollen.
552,Leichter gesagt als getan.,Lichter seggt as daan.
553,"Ich habe keine Zeit, ihm zu schreiben.","Ik heff keen Tied, em to schrieven."
554,Tut das weh?,Deit dat weh?
555,"Ich weiß, dass du schlau bist.","Ik weet, dat du plietsch büst."
556,Ich habe ein Auto von einem Freund ausgeliehen.,Ik heff en Auto vun en Fründ utlehnt.
557,Ich würde gerne ein Auto mieten.,Ik deed geern en Auto hüren.
558,Wann kann ich dich besuchen?,Wannehr kann ik di besöken?
559,Bill ist nicht so groß wie Bob.,Bill is nich so groot as Bob.
560,Diese Länder gehörten zu Frankreich.,Disse Länner hebbt to Frankriek höört.
561,Er hat drei Brüder.,He hett dree Broder.
562,Diese Handschuhe hielten ihre Hände warm.,Disse Hanschen höllen ehr Hannen warm.
563,Gestern hatte ich Zahnschmerzen.,Güstern harr ik Kusenkellen.
564,Ist das reines Gold?,Is dat schier Gold?
565,Ich bin lieber arm als reich.,Ik bün lever arm as riek.
566,"Der Rhein ist die Grenze, die Frankreich und Deutschland trennt.","De Rhien is de Grenz, de Frankriek un Düütsland vonenanner scheedt."
567,Wie lange kennst du Jack?,Wo lang kennst du Jack?
568,Ich bin überhaupt nicht müde.,Ik bün gornich mööd.
569,"Sobald sie zurück sind, rufe ich euch an.","Sodraag se trügg is, roop ik jo an."
570,"Er wusste nicht, was er sagen sollte.","He wüss nich, wat he seggen schölen."
571,Sie hat mir das Schwimmen beigebracht.,Se hett mi dat Swemmen bibröcht.
572,"Ich bade immer, bevor ich schlafen gehe.","Ik baad ümmer, ehrdat ik slapen gah."
573,Du solltest mit dem Rauchen und Trinken aufhören.,Du schusst mit dat Smöken un Supen ophollen.
574,Frankreich liegt in Westeuropa.,Frankriek liggt in Westeuropa.
575,George ist sehr geschwätzig.,George is temlich spreeksch.
576,Ich schüttelte den Kopf.,Ik schüddköpp.
577,Mein Zimmer ist doppelt so groß wie seins.,Mien Kamer is dubbelt so groot as sien.
578,Ich habe sie zufällig getroffen.,Ik heff ehr tofällig drapen.
579,"Dieses Buch ist es wert, gelesen zu werden.",Dit Book is dat Lesen weerd.
580,Er ist nicht mein Cousin.,He is nich mien Vedder.
581,Ich gieße die Blumen im Garten jeden Tag.,Ik geet de Blomen in ’n Gaarn jeden Dag.
582,"Ich hatte kaum die Tür geschlossen, als jemand klopfte.","Ik harr kuum de Döör dichtmaakt, as een ankloppen deed."
583,Glaubst du an Gott?,Glöövst du an Godd?
584,"Ein Pub ist ein Ort, wo sich Leute zusammenfinden, um Bier zu trinken.","En Kroog is en Oort, an den Lüüd tohoopkaamt, üm Beer to drinken."
585,Er verdient zwanzig Dollar pro Tag.,He verdeent twintig Dollar an ’n Dag.
586,Er verdient zwanzig Dollar am Tag.,He verdeent twintig Dollar an ’n Dag.
587,Sie ist nichts für ihn.,Se is nix för em.
588,Ich würde da nicht ganz alleine hingehen.,Ik deed dar nich ganz alleen hengahn.
589,"Ich hoffe, dass es eurem Bruder besser geht.","Ik hööp, dat dat joon Broder beter geiht."
590,Die Kerze ging von selber aus.,De Kars güng vun sülvs ut.
591,Er hat mich um Hilfe gebeten.,He hett mi üm Help beden.
592,Ich muss jetzt gehen.,Nu mot ik gaon.
593,Ein guter Bürger folgt dem Gesetz.,En goden Börger richt sik na dat Gesett.
594,Schneide die Melone in 6 gleiche Teile.,Snied de Meloon in söss liek groot Delen.
595,Mayuko kann Fahrrad fahren.,Mayuko kann Fohrrad föhren.
596,Er ist Vater von drei Kindern.,He is Vadder vun dree Kinner.
597,Redet nicht mit vollem Mund.,Snack nich mit vullen Mund.
598,Ich habe heute nichts zu tun.,Ik heff vondaag nix to doon.
599,"Ich weiß, wo du wohnst.","Ik weet, woneem du wahnst."
600,Alle Dörfer waren schön.,All Dörper weren schöön.
601,"Ich weiß, dass du reich bist.","Ik weet, dat du riek büst."
602,Ich komme aus Japan.,Ik kaam ut Japan.
603,Das ist zu teuer.,Dat is to düer.
604,"Das Essen war schrecklich, trotzdem habe ich mich nicht darüber beschwert.","Dat Eten weer gräsig, liekers heff ik dar nich över rümmuult."
605,Ich will sie heiraten.,Ik will ehr freen.
606,"Ich habe getan, was ich konnte.","Ik heff daan, wat ik kunn."
607,"Sie ist zu jung, um zur Schule zu gehen.","Se is to jung, üm na School to gahn."
608,"Sie ist zu jung, um in die Schule zu gehen.","Se is to jung, üm na School to gahn."
609,Sein Sohn wurde von der Schule geworfen.,Sien Söhn is ut de School smeten worrn.
610,Warum trocknest du dir die Haare?,Worüm dröögst du di de Hoor?
611,Ich brauche eine Briefmarke.,Ik bruuk en Breevmark.
612,Eine Gabel ist vom Tisch gefallen.,En Gavel is vun ’n Disch fullen.
613,Ich habe einen Fehler begangen.,Ik heff en Fehler maakt.
614,Er teilte meine Freude.,He deed mien Freud delen.
615,Ich bin traurig.,Ik bün trurig.
616,Ich werde sie morgen besuchen.,Ik will ehr morgen besöken.
617,Er hatte 50 Dollar.,He harr föfftig Dollar.
618,Er hatte fünfzig Dollar.,He harr föfftig Dollar.
619,Kann ich mich hier hinsetzen?,Kann ik mi hier hensetten?
620,Die Gardine fing Feuer.,De Gardien füng Füer.
621,Wie groß ist er?,Wo groot is he?
622,Hast du morgen Zeit?,Hest du morgen Tied?
623,Nur noch ein Wunder kann sie jetzt retten.,En wunner kann ehr nu man noch redden.
624,Wir haben noch viel Zeit.,Wi hebbt noch veel Tied.
625,"Die Schweiz liegt zwischen Frankreich, Italien, Österreich und Deutschland.","De Swiez liggt twischen Frankriek, Italien, Öösterriek un Düütsland."
626,Ich bin beim Fernsehen eingeschlafen.,Ik bün bi ’t Feernsehn toslapen.
627,Hältst du mich für einen Idioten?,Höllst du mi för en Dummbüdel?
628,Beeil dich! Wir haben nicht viel Zeit.,Man to! Wi hebbt nich veel Tied.
629,Spielst du Fußball oder Rugby?,Speelst du Football oder Rugby?
630,Er ist gestern in Tokyo angekommen.,He is güstern in Tokyo ankamen.
631,In der Mitte des Parks ist ein Teich.,In ’e Mitt vun ’n Park is en Diek.
632,Sie spricht immer Englisch.,Se snackt alltied Engelsch.
633,Sie haben sie zur Feier eingeladen.,Se hebbt ehr to de Fier inlaadt.
634,Ich habe eine große Familie.,Ik heff en groot Familie.
635,Mutter hat das Mittagessen für uns zubereitet.,Moder hett dat Middageten för uns trechmaakt.
636,Alle hatten es schwer.,All harrn dat swaar.
637,Unser Unterricht beginnt um 7:15 Uhr.,Uns Ünnerricht fangt Viddel na söven an.
638,Los!,Loos!
639,"Ich kann nicht begreifen, warum er das getan hat.","Ik kann nich begriepen, worüm as he dat daan hett."
640,Das wird jetzt ein klein wenig weh tun.,Dat schall nu en lütt beten weh doon.
641,Niemand spricht diese Sprache mehr.,Nüms snackt düsse Spraak mehr.
642,"Er konnte nicht kommen, weil er krank war.","He kunn nich kamen, ümdat he krank wat."
